SourceFile,SearchKey,ODSCode,OrganisationName,ServiceIndex,ServiceCode,ServiceName,OpeningTimeIndex,Weekday,OpeningTime,ClosingTime,OffsetOpeningTime,OffsetClosingTime,OpeningTimeType,AdditionalOpeningDate,IsOpen,FromAgeDays,ToAgeDays
page_000028.json,X104610,RNS01,Northampton General Hospital (Acute),1,SRV0001,Accident and emergency services,9,Monday,00:00,23:59,0,1439,General,,true,0,6208
page_000028.json,X104610,RNS01,Northampton General Hospital (Acute),1,SRV0001,Accident and emergency services,10,Tuesday,00:00,23:59,0,1439,General,,true,5844,47481
page_000028.json,X104610,RNS01,Northampton General Hospital (Acute),1,SRV0001,Accident and emergency services,11,Wednesday,00:00,23:59,0,1439,General,,true,5844,47481
page_000028.json,X104610,RNS01,Northampton General Hospital (Acute),1,SRV0001,Accident and emergency services,12,Thursday,00:00,23:59,0,1439,General,,true,0,6208
page_000028.json,X104610,RNS01,Northampton General Hospital (Acute),1,SRV0001,Accident and emergency services,13,Friday,00:00,23:59,0,1439,General,,true,5844,47481
page_000028.json,X104610,RNS01,Northampton General Hospital (Acute),1,SRV0001,Accident and emergency services,14,Saturday,00:00,23:59,0,1439,General,,true,5844,47481
page_000028.json,X104736,R1K01,Northwick Park Hospital,1,SRV0001,Accident and emergency services,1,Saturday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X104736,R1K01,Northwick Park Hospital,1,SRV0001,Accident and emergency services,2,Friday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X104736,R1K01,Northwick Park Hospital,1,SRV0001,Accident and emergency services,3,Thursday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X104736,R1K01,Northwick Park Hospital,1,SRV0001,Accident and emergency services,4,Wednesday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X104736,R1K01,Northwick Park Hospital,1,SRV0001,Accident and emergency services,5,Tuesday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X104736,R1K01,Northwick Park Hospital,1,SRV0001,Accident and emergency services,6,Monday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X104736,R1K01,Northwick Park Hospital,1,SRV0001,Accident and emergency services,7,Sunday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X104736,R1K01,Northwick Park Hospital,1,SRV0001,Accident and emergency services,8,Monday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X104736,R1K01,Northwick Park Hospital,1,SRV0001,Accident and emergency services,9,Tuesday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X104736,R1K01,Northwick Park Hospital,1,SRV0001,Accident and emergency services,10,Wednesday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X104736,R1K01,Northwick Park Hospital,1,SRV0001,Accident and emergency services,11,Thursday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X104736,R1K01,Northwick Park Hospital,1,SRV0001,Accident and emergency services,12,Friday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X104736,R1K01,Northwick Park Hospital,1,SRV0001,Accident and emergency services,13,Saturday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X104736,R1K01,Northwick Park Hospital,1,SRV0001,Accident and emergency services,14,Sunday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X104737,R1K02,Central Middlesex Hospital,1,SRV0541,Urgent Treatment Centre,1,Saturday,08:00,20:00,480,1200,General,,true,0,47481
page_000028.json,X104737,R1K02,Central Middlesex Hospital,1,SRV0541,Urgent Treatment Centre,2,Friday,08:00,20:00,480,1200,General,,true,0,47481
page_000028.json,X104737,R1K02,Central Middlesex Hospital,1,SRV0541,Urgent Treatment Centre,3,Thursday,08:00,20:00,480,1200,General,,true,0,47481
page_000028.json,X104737,R1K02,Central Middlesex Hospital,1,SRV0541,Urgent Treatment Centre,4,Wednesday,08:00,20:00,480,1200,General,,true,0,47481
page_000028.json,X104737,R1K02,Central Middlesex Hospital,1,SRV0541,Urgent Treatment Centre,5,Tuesday,08:00,20:00,480,1200,General,,true,0,47481
page_000028.json,X104737,R1K02,Central Middlesex Hospital,1,SRV0541,Urgent Treatment Centre,6,Monday,08:00,20:00,480,1200,General,,true,0,47481
page_000028.json,X104737,R1K02,Central Middlesex Hospital,1,SRV0541,Urgent Treatment Centre,7,Sunday,08:00,20:00,480,1200,General,,true,0,47481
page_000028.json,X104739,R1K04,Ealing Hospital,1,SRV0001,Accident and emergency services,1,Sunday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X104739,R1K04,Ealing Hospital,1,SRV0001,Accident and emergency services,2,Monday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X104739,R1K04,Ealing Hospital,1,SRV0001,Accident and emergency services,3,Tuesday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X104739,R1K04,Ealing Hospital,1,SRV0001,Accident and emergency services,4,Wednesday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X104739,R1K04,Ealing Hospital,1,SRV0001,Accident and emergency services,5,Thursday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X104739,R1K04,Ealing Hospital,1,SRV0001,Accident and emergency services,6,Friday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X104739,R1K04,Ealing Hospital,1,SRV0001,Accident and emergency services,7,Saturday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X105106,RDU50,Wexham Park Hospital,1,SRV0001,Accident and emergency services,1,Friday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X105106,RDU50,Wexham Park Hospital,1,SRV0001,Accident and emergency services,2,Sunday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X105106,RDU50,Wexham Park Hospital,1,SRV0001,Accident and emergency services,3,Wednesday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X105106,RDU50,Wexham Park Hospital,1,SRV0001,Accident and emergency services,4,Saturday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X105106,RDU50,Wexham Park Hospital,1,SRV0001,Accident and emergency services,5,Monday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X105106,RDU50,Wexham Park Hospital,1,SRV0001,Accident and emergency services,6,Thursday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X105106,RDU50,Wexham Park Hospital,1,SRV0001,Accident and emergency services,7,Tuesday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X105298,RH5A8,Musgrove Park Hospital,1,SRV0001,Accident and emergency services,1,Sunday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X105298,RH5A8,Musgrove Park Hospital,1,SRV0001,Accident and emergency services,2,Monday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X105298,RH5A8,Musgrove Park Hospital,1,SRV0001,Accident and emergency services,3,Tuesday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X105298,RH5A8,Musgrove Park Hospital,1,SRV0001,Accident and emergency services,4,Wednesday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X105298,RH5A8,Musgrove Park Hospital,1,SRV0001,Accident and emergency services,5,Thursday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X105298,RH5A8,Musgrove Park Hospital,1,SRV0001,Accident and emergency services,6,Friday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X105298,RH5A8,Musgrove Park Hospital,1,SRV0001,Accident and emergency services,7,Saturday,00:00,23:59,0,1439,General,,true,0,47481
page_000028.json,X105341,RT182,North Cambridgeshire Hospital - Cambridgeshire and Peterborough NHS Foundation Trust,1,SRV0178,Urgent care centre,1,Monday,08:30,18:00,510,1080,General,,true,730,47481
page_000028.json,X105341,RT182,North Cambridgeshire Hospital - Cambridgeshire and Peterborough NHS Foundation Trust,1,SRV0178,Urgent care centre,2,Tuesday,08:30,18:00,510,1080,General,,true,730,47481
