SourceFile,SearchKey,ODSCode,OrganisationName,PeriodIndex,PeriodServiceIndex,ServiceCode,ServiceName
page_000034.json,X11765,FRJ40,BIRK & NAGRA CHEMIST,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000034.json,X11765,FRJ40,BIRK & NAGRA CHEMIST,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000034.json,X11779,FRK31,Boots,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years (NHS service)
page_000034.json,X11779,FRK31,Boots,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over (NHS service)
page_000034.json,X11779,FRK31,Boots,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years (NHS service)
page_000035.json,X11810,FRL66,TESCO INSTORE PHARMACY,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000035.json,X11810,FRL66,TESCO INSTORE PHARMACY,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000035.json,X11810,FRL66,TESCO INSTORE PHARMACY,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000035.json,X11843,FRN23,Park Pharmacy,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000035.json,X11843,FRN23,Park Pharmacy,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000035.json,X11843,FRN23,Park Pharmacy,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000035.json,X11849,FRN48,Superdrug Pharmacy,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000035.json,X11849,FRN48,Superdrug Pharmacy,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000035.json,X11849,FRN48,Superdrug Pharmacy,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000035.json,X11850,FRN49,DAY LEWIS PHARMACY,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000035.json,X11850,FRN49,DAY LEWIS PHARMACY,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000035.json,X11850,FRN49,DAY LEWIS PHARMACY,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000035.json,X11855,FRN74,Care Chemists,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000035.json,X11855,FRN74,Care Chemists,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000035.json,X11855,FRN74,Care Chemists,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000035.json,X11866,FRP26,Boots,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000035.json,X11866,FRP26,Boots,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000035.json,X11866,FRP26,Boots,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000035.json,X11873,FRP54,Roys Pharmacy (Wroxham Ltd),1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000035.json,X11873,FRP54,Roys Pharmacy (Wroxham Ltd),1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000035.json,X11873,FRP54,Roys Pharmacy (Wroxham Ltd),1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
page_000035.json,X11884,FRQ20,PEAK PHARMACY,1,1,SRV2006,Walk-in COVID-19 vaccination service: ages 18 to 64 years
page_000035.json,X11884,FRQ20,PEAK PHARMACY,1,2,SRV2007,Walk-in COVID-19 vaccination service: ages 75 years or over
page_000035.json,X11884,FRQ20,PEAK PHARMACY,1,3,SRV2008,Walk-in COVID-19 vaccination service: ages 65 to 74 years
